Date,SampleID,TubeNumber,Input_ng,Plate,Row,Column,VolFromSonicatorSample_uL,SequencingPool,Capture,AdapterID,AdapterConcentration,PostLigElutionVol_uL,PostLigQVol_uL,PostLigQuant_ng_uL,PostLigTotal_ng,VolForPCR,PCRInput_ng,PCRPlate,PCRRow,PCRColumn,ForwardPrimerID,ReversePrimerID,PCRCycles,ElutionBuffer,ElutionVol_uL,Vol_Bioanalyzer,Vol_Qubit,FinalConcentrationAfterPCR1Wrong_ng_uL,TotalDNAWrong_ng,SecondPCRCycles,SecondElutionBuffer,SecondElutionVol_uL,SecondVolQubit_uL,SecondQuant_ng_uL,SecondTotalDNA_ng,,,,,,,
,APPC10.08,20,100,1,B,4,25,A,Pop02,Y10,15uM,60,1,0.39,23.01,20,7.8,2,D,1,L2,702,8,pH20,30,,1,1.78,51.62,6,pH20,40,1,0.412,16.068,,,,,,,
,APPC11.10,21,100,1,A,5,25,A,Pop03,Y1,15uM,60,1,0.354,20.886,20,7.08,2,E,1,L3,703,8,pH20,30,3,1,1.7,44.2,6,pH20,40,1,0.546,21.294,,,,,,,
,APPC11.16,22,100,1,B,5,25,A,Pop03,Y2,15uM,60,1,0.384,22.656,20,7.68,2,F,1,L3,703,8,pH20,30,,1,0.718,20.822,6,pH20,40,1,3.3,128.7,,,,,,,
,APPC11.19,23,100,1,C,5,25,A,Pop03,Y3,15uM,60,1,0.504,29.736,20,10.08,2,G,1,L3,703,8,pH20,30,,1,0.262,7.598,6,pH20,40,1,6.52,254.28,,,,,,,
,APPC11.27,24,100,1,D,5,25,A,Pop03,Y4,15uM,60,1,0.364,21.476,20,7.28,2,H,1,L3,703,8,pH20,30,,1,1.01,29.29,6,pH20,40,1,2.72,106.08,,,,,,,
,APPC12.18,25,100,1,E,5,25,A,Pop03,Y5,15uM,60,1,0.346,20.414,20,6.92,2,A,2,L3,703,8,pH20,30,3,1,7.08,184.08,6,pH20,40,1,4.8,187.2,,,,,,,
,APPC12.19,26,100,1,F,5,25,A,Pop03,Y6,15uM,60,1,0.0005,0.0295,20,0.01,1,A,3,L3,703,8,pH20,30,,1,0.224,6.496,6,pH20,40,1,empty,,,,,,,,
,APPC12.22,27,100,1,G,5,25,A,Pop03,Y7,15uM,60,1,0.576,33.984,20,11.52,2,C,2,L3,703,8,pH20,30,,1,0.702,20.358,6,pH20,40,1,0.488,19.032,,,,,,,
,APPC12.24,28,100,1,H,5,25,A,Pop03,Y8,15uM,60,1,0.448,26.432,20,8.96,2,D,2,L3,703,8,pH20,30,,1,too low,#VALUE!,6,pH20,40,1,1.31,51.09,,,,,,,
,APPC13.18,29,100,1,A,6,25,A,Pop03,Y9,15uM,60,1,0.38,22.42,20,7.6,2,E,2,L3,703,8,pH20,30,,1,1.18,34.22,6,pH20,40,1,2.26,88.14,,,,,,,
,APPC13.25,30,100,1,B,6,25,A,Pop03,Y10,15uM,60,1,0.392,23.128,20,7.84,2,F,2,L3,703,8,pH20,30,,1,1.67,48.43,6,pH20,40,1,1.94,75.66,,,,,,,
,APPC13.29,31,100,1,A,7,25,A,Pop04,Y1,15uM,60,1,0.376,22.184,20,7.52,2,G,2,L4,704,8,pH20,30,,1,2.26,65.54,6,pH20,40,1,6.98,272.22,,,,,,,
,APPC13.08,32,100,1,B,7,25,A,Pop04,Y2,15uM,60,1,0.326,19.234,20,6.52,2,H,2,L4,704,8,pH20,30,,1,0.25,7.25,6,pH20,40,1,1.15,44.85,,,,,,,
,APPC14.23,33,100,1,C,7,25,A,Pop04,Y3,15uM,60,1,0.286,16.874,20,5.72,2,A,3,L4,704,8,pH20,30,,1,too low,#VALUE!,6,pH20,40,1,0.574,22.386,,,,,,,
,APPC14.26,34,100,1,D,7,25,A,Pop04,Y4,15uM,60,1,0.554,32.686,20,11.08,2,B,3,L4,704,8,pH20,30,,1,0.706,20.474,6,pH20,40,1,1.76,68.64,,,,,,,
,APPC14.29,35,100,1,E,7,25,A,Pop04,Y5,15uM,60,1,0.28,16.52,20,5.6,2,C,3,L4,704,8,pH20,30,,1,0.166,4.814,6,pH20,40,1,0.464,18.096,,,,,,,
,APPC14.09,36,100,1,F,7,25,A,Pop04,Y6,15uM,60,1,0.32,18.88,20,6.4,2,D,3,L4,704,8,pH20,30,,1,0.244,7.076,6,pH20,40,1,0.702,27.378,,,,,,,
,APPC15.17,37,100,1,G,7,25,A,Pop04,Y7,15uM,60,1,0.358,21.122,20,7.16,2,E,3,L4,704,8,pH20,30,,1,1.82,52.78,6,pH20,40,1,2.26,88.14,,,,,,,
,APPC16.14,38,100,1,H,7,25,A,Pop04,Y8,15uM,60,1,0.468,27.612,20,9.36,2,F,3,L4,704,8,pH20,30,,1,0.112,3.248,6,pH20,40,1,2.04,79.56,,,,,,,
,APPC16.15,39,100,1,A,8,25,A,Pop04,Y9,15uM,60,1,0.364,21.476,20,7.28,2,G,3,L4,704,8,pH20,30,,1,0.87,25.23,6,pH20,40,1,2.64,102.96,,,,,,,
,APPC16.25,40,100,1,B,8,25,A,Pop04,Y10,15uM,60,1,0.312,18.408,20,6.24,2,H,3,L4,704,8,pH20,30,,1,0.918,26.622,6,pH20,40,1,2.28,88.92,,,,,,,
,APPC17.10,41,100,2,A,1,25,A,Pop05,Y1,15uM,60,1,0.14,8.26,20,2.8,2,A,4,L5,705,8,pH20,30,,1,1.55,44.95,6,pH20,40,1,1.41,54.99,,,,,,,
,APPC17.18,42,100,2,B,1,25,A,Pop05,Y2,15uM,60,1,0.13,7.67,20,2.6,2,B,4,L5,705,8,pH20,30,,1,1.13,32.77,6,pH20,40,1,2.08,81.12,,,,,,,
,APPC17.20,43,100,2,C,1,25,A,Pop05,Y3,15uM,60,1,0.158,9.322,20,3.16,2,C,4,L5,705,8,pH20,30,,1,0.194,5.626,6,pH20,40,1,0.95,37.05,,,,,,,
,APPC17.09,44,100,2,D,1,25,A,Pop05,Y4,15uM,60,1,0.1,5.9,20,2,2,D,4,L5,705,8,pH20,30,,1,0.594,17.226,6,pH20,40,1,1.33,51.87,,,,,,,
,APPC18.15,45,100,2,E,1,25,A,Pop05,Y5,15uM,60,1,0.278,16.402,20,5.56,2,E,4,L5,705,8,pH20,30,,1,1.23,35.67,6,pH20,40,1,1.1,42.9,,,,,,,
,APPC18.20,46,100,2,F,1,25,A,Pop05,Y6,15uM,60,1,0.24,14.16,20,4.8,2,F,4,L5,705,8,pH20,30,,1,0.694,20.126,6,pH20,40,1,1.48,57.72,,,,,,,
,APPC18.27,47,100,2,G,1,25,A,Pop05,Y7,15uM,60,1,0.224,13.216,20,4.48,2,G,4,L5,705,8,pH20,30,,1,0.448,12.992,6,pH20,40,1,1.34,52.26,,,,,,,
,APPC18.28,48,100,2,H,1,25,A,Pop05,Y8,15uM,60,1,0.364,21.476,20,7.28,2,H,4,L5,705,8,pH20,30,,1,0.126,3.654,6,pH20,40,1,2.12,82.68,,,,,,,
,APPC19.15,49,100,2,A,2,25,A,Pop05,Y9,15uM,60,1,0.228,13.452,20,4.56,2,A,5,L5,705,8,pH20,30,,1,0.318,9.222,6,pH20,40,1,0.66,25.74,,,,,,,
,APPC19.16,50,100,2,B,2,25,A,Pop05,Y10,15uM,60,1,0.252,14.868,20,5.04,2,B,5,L5,705,8,pH20,30,,1,0.704,20.416,6,pH20,40,1,1.58,61.62,,,,,,,
,APPC20.22,51,100,2,A,3,25,A,Pop06,Y1,15uM,60,1,0.492,29.028,20,9.84,2,C,5,L6,706,8,pH20,30,,1,1.47,42.63,6,pH20,40,1,0.882,34.398,,,,,,,
,APPC20.28,52,100,2,B,3,25,A,Pop06,Y2,15uM,60,1,0.368,21.712,20,7.36,2,D,5,L6,706,8,pH20,30,,1,0.602,17.458,6,pH20,40,1,10.3,401.7,,,,,,,
